Timestamp,Accel,Brake,Steer,Speed,PosX,PosY,PosZ
3161160,1,0,0,0,976,74.002,848
3161168,1,0,0,0,976,74.002,848
3161178,1,0,0,0.13,976,74.002,848
3161189,1,0,0,0.29,975.999,74.002,848
3161197,1,0,0,0.434,975.996,74.002,848
3161207,1,0,0,0.578,975.992,74.002,848
3161216,1,0,0,0.738,975.987,74.002,848
3161226,1,0,0,0.898,975.979,74.002,848
3161235,1,0,0,1.042,975.971,74.002,848
3161245,1,0,0,1.202,975.961,74.0027,848
3161255,1,0,0,1.3454,975.949,74.003,848
3161264,1,0,0,1.505,975.936,74.003,848
3161276,1,0,0,1.681,975.919,74.0038,848
3161287,1,0,0,1.8244,975.904,74.004,848
3161310,1,0,0,2.191,975.859,74.0059,848
3161320,1,0,0,2.3501,975.837,74.006,848
3161327,1,0,0,2.4932,975.816,74.0068,848
3161335,1,0,0,2.6198,975.796,74.0076,848
3161346,1,0,0,2.7784,975.769,74.0086,848
3161355,1,0,0,2.9526,975.738,74.0097,848
3161366,1,0,0,3.1106,975.708,74.0099,848
3161376,1,0,0,3.2686,975.677,74.0107,848
3161386,1,0,0,3.4424,975.641,74.0118,848
3161397,1,0,0,3.5846,975.61,74.012,848
3161406,1,0,0,3.7576,975.57,74.0129,848
3161416,1,0,0,3.8989,975.536,74.0138,848
3161427,1,0,0,4.0716,975.492,74.014,848
3161436,0,0,0,4.083,975.451,74.014,848
3161448,0,0,0,4.058,975.41,74.0149,848
3161456,0,0,0,4.0348,975.374,74.015,848
3161466,0,0,0,4.007,975.33,74.015,848
3161476,0,0,0,3.982,975.29,74.015,848
3161486,0,0,0,3.957,975.25,74.0142,848
3161495,0,0,0,3.9345,975.214,74.014,848
3161507,0,0,0,3.907,975.171,74.014,848
3161516,0,0,0,3.8828,975.133,74.0132,848
3161525,0,0,0,3.8612,975.098,74.013,848
3161535,0,0,0,3.8372,975.059,74.0123,848
3161545,0,0,0,3.8132,975.021,74.012,848
3161556,0,0,0,3.7899,974.983,74.0113,848
3161566,0,0,0,3.7669,974.946,74.011,848
3161575,0,0,0,3.7446,974.909,74.0103,848
3161586,0,0,0,3.7226,974.872,74.01,848
3161598,0,0,0,3.6962,974.828,74.0091,848
3161607,0,0,0,3.6751,974.792,74.009,848
3161617,0,0,0,3.6562,974.758,74.009,848
3161626,0,0,0,3.6352,974.722,74.0099,848
3161638,0,0,0,3.61,974.679,74.01,848
3161649,0,0,0,3.59,974.643,74.011,848
3161660,0,0,0,3.57,974.608,74.011,848
3161668,0,0,0,3.57,974.608,74.011,848
